Array Length, Merge Sort, Quicksort, Counting Sort, Radix Sort, QR Sort
10000,871691500,840074300,319984466.7,359986466.7,299983466.7
20000,1863387433,1801100467,489981933.3,719983933.3,599980933.3
30000,2893387533,2876926300,659978933.3,1079980933,899977933.3
40000,3966779500,3911431133,829982333.3,1439984333,1199981333
50000,5056779433,4930706567,999980733.3,1799982733,1499979733
60000,6146779367,6012942433,1169980533,1199979533,1199979533
70000,7263563533,7174829100,1339979933,1399978933,1399978933
80000,8413563400,8199609733,1509979933,1599978933,1599978933
90000,9563563367,9299124100,1679979133,1799978133,1799978133
100000,10713563433,10408988267,1849980933,1999979933,1999979933
110000,11863563433,11493329700,2019981467,2199980467,2199980467
120000,13013563633,12811118733,2189980067,2399979067,2399979067
130000,14163563700,13755433567,2359978200,2599977200,2599977200
140000,15367131333,14923047967,2529982400,2799981400,2799981400
150000,16577131433,16167599500,2699980867,2999979867,2999979867
160000,17787131467,17478519600,2869980333,3199979333,3199979333
170000,18997131467,18504598800,3039982333,3399981333,3399981333
180000,20207131467,19992089933,3209980133,3599979133,3599979133
190000,21417131500,20951947767,3379980400,3799979400,3799979400
200000,22627131467,22070312633,3549980933,3999979933,3999979933
210000,23837131533,23294637200,3719979400,4199978400,4199978400
220000,25047131400,24453863267,3889979800,4399978800,4399978800
230000,26257131500,25727919367,4059980600,4599979600,4599979600
240000,27467131600,27084799100,4229979733,4799978733,4799978733
250000,28677131533,28517635333,4399978933,4999977933,4999977933
260000,29887131467,29963185167,4569980600,5199979600,5199979600
270000,31144267467,30672529833,4739980267,5399979267,5399979267
280000,32414267433,32592770633,4909980400,5599979400,5599979400
290000,33684267500,33469256733,5079979867,5799978867,5799978867
300000,34954267633,34980702967,5249979533,5999978533,5999978533
310000,36224267333,35949365000,5419980000,6199979000,6199979000
320000,37494267467,37478326800,5589981467,6399980467,6399980467
330000,38764267433,38557263600,5759980200,6599979200,6599979200
340000,40034267467,40344517433,5929982067,6799981067,6799981067
350000,41304267567,41153644500,6099980600,6999979600,6999979600
360000,42574267367,42834740500,6269979733,7199978733,7199978733
370000,43844267667,43617677567,6439978867,7399977867,7399977867
380000,45114267433,44996066567,6609981333,7599980333,7599980333
390000,46384267533,46329232700,6779980533,7799979533,7799979533
400000,47654267533,48115103333,6949978533,7999977533,7999977533
410000,48924267333,49194995333,7119981133,8199980133,8199980133
420000,50194267600,50803617200,7289978667,8399977667,8399977667
430000,51464267433,51568005167,7459980267,8599979267,8599979267
440000,52734267667,52745322300,7629978333,8799977333,8799977333
450000,54004267500,54729613633,7799979933,8999978933,8999978933
460000,55274267633,55173139767,7969979933,9199978933,9199978933
470000,56544267500,56643819267,8139979533,9399978533,9399978533
480000,57814267600,59111513933,8309981667,9599980667,9599980667
490000,59084267400,60202328633,8479979333,9799978333,9799978333
500000,60354267533,61508767333,8649981067,9999980067,9999980067
510000,61624267633,63353177467,8819981733,10199980733,10199980733
520000,62894267467,64244499367,8989979400,10399978400,10399978400
530000,64198539400,65645582967,9159981667,10599980667,10599980667
540000,65528539567,67151302900,9329980267,10799979267,10799979267
550000,66858539467,68654720933,9499979467,10999978467,10999978467
560000,68188539500,70698548200,9669981200,11199980200,11199980200
570000,69518539300,71386880800,9839981667,11399980667,11399980667
580000,70848539400,72755664233,10009981000,11599980000,11599980000
590000,72178539433,74208718533,10179982867,11799981867,11799981867
600000,73508539500,75599473667,10349980933,11999979933,11999979933
610000,74838539500,77144580400,10519981067,12199980067,12199980067
620000,76168539533,79127795833,10689981200,12399980200,12399980200
630000,77498539600,80265645267,10859978867,12599977867,12599977867
640000,78828539600,81450194833,11029979400,12799978400,12799978400
650000,80158539433,82788505200,11199982400,12999981400,12999981400
660000,81488539633,84300898700,11369979400,13199978400,13199978400
670000,82818539400,85332302200,11539981333,13399980333,13399980333
680000,84148539533,87458788900,11709980200,13599979200,13599979200
690000,85478539633,89439552433,11879977667,13799976667,13799976667
700000,86808539567,91140277367,12049980800,13999979800,13999979800
710000,88138539533,91591997200,12219982333,14199981333,14199981333
720000,89468539700,93176806833,12389978867,14399977867,14399977867
730000,90798539300,95326996900,12559980400,14599979400,14599979400
740000,92128539533,97552135200,12729981133,14799980133,14799980133
750000,93458539500,99804152000,12899978267,14999977267,14999977267
760000,94788539633,1.01033E+11,13069980000,15199979000,15199979000
770000,96118539400,1.01885E+11,13239982400,15399981400,15399981400
780000,97448539467,1.02635E+11,13409981400,15599980400,15599980400
790000,98778539567,1.05093E+11,13579980200,15799979200,15799979200
800000,1.00109E+11,1.07187E+11,13749979733,15999978733,15999978733
810000,1.01439E+11,1.09416E+11,13919981000,16199980000,16199980000
820000,1.02769E+11,1.08926E+11,14089980800,16399979800,16399979800
830000,1.04099E+11,1.1128E+11,14259980867,16599979867,16599979867
840000,1.05429E+11,1.12542E+11,14429980933,16799979933,16799979933
850000,1.06759E+11,1.13171E+11,14599981000,16999980000,16999980000
860000,1.08089E+11,1.16382E+11,14769980667,17199979667,17199979667
870000,1.09419E+11,1.1739E+11,14939977800,17399976800,17399976800
880000,1.10749E+11,1.19389E+11,15109982200,17599981200,17599981200
890000,1.12079E+11,1.2248E+11,15279982667,17799981667,17799981667
900000,1.13409E+11,1.2309E+11,15449979733,17999978733,17999978733
910000,1.14739E+11,1.23938E+11,15619980133,18199979133,18199979133
920000,1.16069E+11,1.25264E+11,15789980600,18399979600,18399979600
930000,1.17399E+11,1.28558E+11,15959982333,18599981333,18599981333
940000,1.18729E+11,1.28966E+11,16129980600,18799979600,18799979600
950000,1.20059E+11,1.30208E+11,16299980467,18999979467,18999979467
960000,1.21389E+11,1.31928E+11,16469977267,19199976267,19199976267
970000,1.22719E+11,1.33229E+11,16639982067,19399981067,19399981067
980000,1.24049E+11,1.36627E+11,16809980933,19599979933,19599979933
990000,1.25379E+11,1.38337E+11,16979980800,19799979800,19799979800
1000000,1.26709E+11,1.38846E+11,17149980733,19999979733,19999979733
