Array Length, Radix Sort, QR Sort
1000,51978000,176975000
2000,103990000,128987000
3000,155990000,130985000
4000,207980000,145477000
5000,260002000,164999000
6000,311986000,186982000
7000,363992000,210415000
8000,287987000,239984000
9000,323977000,269974000
10000,359985000,299982000
11000,395981000,329978000
12000,431987000,359984000
13000,467983000,389980000
14000,503985000,419982000
15000,539985000,449982000
16000,575991000,479988000
17000,611991000,509988000
18000,647989000,539986000
19000,683989000,569986000
20000,719993000,599990000
21000,755979000,629976000
22000,791989000,659986000
23000,827983000,689980000
24000,863979000,719976000
25000,899983000,749980000
26000,935985000,779982000
27000,971987000,809984000
28000,1007985000,839982000
29000,1043985000,869982000
30000,1079979000,899976000
31000,1115977000,929974000
32000,1151993000,959990000
33000,1187977000,989974000
34000,1223991000,1019988000
35000,1259993000,1049990000
36000,1295987000,1079984000
37000,1331983000,1109980000
38000,1367989000,1139986000
39000,1403971000,1169968000
40000,1439973000,1199970000
41000,1475977000,1229974000
42000,1511981000,1259978000
43000,1547977000,1289974000
44000,1583979000,1319976000
45000,1619987000,1349984000
46000,1655989000,1379986000
47000,1691985000,1409982000
48000,1727973000,1439970000
49000,1763969000,1469966000
50000,1799981000,1499978000
51000,1835987000,1529984000
52000,1871979000,1559976000
53000,1907989000,1589986000
54000,1943965000,1619962000
55000,1979985000,1649982000
56000,2015987000,1679984000
57000,2051985000,1709982000
58000,2087969000,1739966000
59000,2123969000,1769966000
60000,2159989000,1799986000
61000,2195983000,1829980000
62000,2231983000,1859980000
63000,2267977000,1889974000
64000,2303971000,1919968000
65000,2339983000,1949980000
66000,2375981000,1979978000
67000,2411991000,2009988000
68000,2447987000,2039984000
69000,2483979000,2069976000
70000,2519989000,2099986000
71000,2555991000,2129988000
72000,2591977000,2159974000
73000,2627983000,2189980000
74000,2663981000,2219978000
75000,2699985000,2249982000
76000,2735975000,2279972000
77000,2771981000,2309978000
78000,2807977000,2339974000
79000,2843985000,2369982000
80000,2879987000,2399984000
81000,2915987000,2429984000
82000,2951977000,2459974000
83000,2987985000,2489982000
84000,3023993000,2519990000
85000,3059983000,2549980000
86000,3095969000,2579966000
87000,3131989000,2609986000
88000,3167993000,2639990000
89000,3203967000,2669964000
90000,3239985000,2699982000
91000,3275973000,2729970000
92000,3311967000,2759964000
93000,3347985000,2789982000
94000,3383987000,2819984000
95000,3419983000,2849980000
96000,3455979000,2879976000
97000,3491973000,2909970000
98000,3527983000,2939980000
99000,3563971000,2969968000
100000,3599985000,2999982000
101000,3635975000,3029972000
102000,3671989000,3059986000
103000,3707979000,3089976000
104000,3743977000,3119974000
105000,3779985000,3149982000
106000,3815985000,3179982000
107000,3851969000,3209966000
108000,3887979000,3239976000
109000,3923975000,3269972000
110000,3959989000,3299986000
111000,3995959000,3329956000
112000,4031981000,3359978000
113000,4067969000,3389966000
114000,4103967000,3419964000
115000,4139985000,3449982000
116000,4175993000,3479990000
117000,4211983000,3509980000
118000,4247987000,3539984000
119000,4283987000,3569984000
120000,4319993000,3599990000
121000,4355971000,3629968000
122000,4391983000,3659980000
123000,4427975000,3689972000
124000,4463981000,3719978000
125000,4499987000,3749984000
126000,4535981000,3779978000
127000,4571989000,3809986000
128000,4607977000,3839974000
129000,4643971000,3869968000
130000,4679979000,3899976000
131000,4715983000,3929980000
132000,4751983000,3959980000
133000,4787969000,3989966000
