Array Length, Radix Sort, QR Sort
1000,0.033333,0.1
2000,0,0.033333
3000,0.066667,0
4000,0.133333,0.033333
5000,0.1,0.066667
6000,0.066667,0.133333
7000,0.166667,0.1
8000,0.066667,0.1
9000,0.166667,0.1
10000,0.166667,0.066667
11000,0.133333,0.233333
12000,0.233333,0.133333
13000,0.233333,0.2
14000,0.266667,0
15000,0.133333,0.133333
16000,0.266667,0.166667
17000,0.266667,0.166667
18000,0.366667,0.133333
19000,0.333333,0.2
20000,0.366667,0.2
21000,0.266667,0.2
22000,0.333333,0.266667
23000,0.4,0.2
24000,0.4,0.233333
25000,0.333333,0.266667
26000,0.333333,0.333333
27000,0.533333,0.2
28000,0.566667,0.133333
29000,0.566667,0.4
30000,0.433333,0.4
31000,0.5,0.366667
32000,0.5,0.466667
33000,0.6,0.333333
34000,0.5,0.433333
35000,0.6,0.333333
36000,0.6,0.433333
37000,0.6,0.4
38000,0.7,0.333333
39000,0.666667,0.433333
40000,0.566667,0.433333
41000,0.566667,0.633333
42000,0.733333,0.466667
43000,0.9,0.5
44000,0.766667,0.4
45000,0.733333,0.6
46000,0.733333,0.466667
47000,0.866667,0.366667
48000,0.9,0.7
49000,0.666667,0.566667
50000,0.833333,0.466667
51000,0.8,0.7
52000,0.8,0.866667
53000,1,0.6
54000,0.966667,0.766667
55000,0.733333,0.7
56000,0.933333,0.433333
57000,0.866667,0.7
58000,1,0.7
59000,0.933333,0.733333
60000,1.133333,0.666667
61000,0.966667,0.766667
62000,1,0.833333
63000,1.466667,1
64000,1.5,1.2
65000,1.1,0.633333
66000,1.166667,0.733333
67000,1.2,0.666667
68000,1.033333,0.766667
69000,1.4,0.6
70000,1.1,0.8
71000,1.133333,0.9
72000,1.166667,0.766667
73000,1.166667,0.833333
74000,1.233333,0.866667
75000,1.066667,1.066667
76000,1.166667,0.866667
77000,1.266667,0.833333
78000,1.433333,0.8
79000,1.5,0.866667
80000,1.466667,0.9
81000,1.333333,0.966667
82000,1.4,0.933333
83000,1.433333,1.066667
84000,1.4,0.866667
85000,1.4,0.9
86000,1.433333,0.933333
87000,1.5,0.933333
88000,1.466667,1.033333
89000,1.433333,0.9
90000,1.6,1.033333
91000,1.6,1.133333
92000,1.766667,1
93000,1.633333,0.966667
94000,1.666667,1.066667
95000,1.766667,1.033333
96000,1.566667,1.433333
97000,1.766667,1.1
98000,1.533333,1.133333
99000,1.9,1.133333
100000,1.5,1.066667
101000,1.533333,1
102000,1.7,1.166667
103000,1.833333,1.1
104000,1.8,1.333333
105000,1.633333,1
106000,2,1.1
107000,1.833333,1
108000,1.633333,1.5
109000,2.066667,1.166667
110000,1.7,1.233333
111000,1.766667,1.233333
112000,1.933333,1.2
113000,1.933333,1.333333
114000,1.9,1.266667
115000,1.733333,1.233333
116000,2.1,1.2
117000,2.033333,1.266667
118000,1.933333,1.333333
119000,1.933333,1.333333
120000,1.966667,1.2
121000,2.066667,1.533333
122000,2.2,1.2
123000,2.133333,1.2
124000,2.1,1.4
125000,1.966667,1.133333
126000,2.133333,1.5
127000,2.2,1.366667
128000,2.5,2.033333
129000,2.166667,1.566667
130000,2.2,1.2
131000,2.5,1.866667
132000,2.133333,1.7
133000,2.5,1.733333
134000,2.666667,1.9
135000,2.566667,1.6
136000,2.266667,1.566667
137000,2.7,1.8
138000,2.8,2.033333
139000,2.866667,2.066667
140000,2.366667,1.566667
141000,2.866667,1.933333
142000,2.733333,1.966667
143000,2.733333,2
144000,2.7,2
145000,2.9,1.966667
146000,2.866667,2.066667
147000,2.8,2.033333
148000,3,2.133333
149000,2.933333,2.1
150000,2.733333,1.833333
151000,2.966667,2.066667
152000,3.166667,2.2
153000,2.966667,2.166667
154000,3.133333,2.3
155000,3.133333,2.133333
156000,3.166667,2.266667
157000,3.033333,2.3
158000,3.2,2.233333
159000,3.133333,2.5
160000,3.733333,3.066667
161000,3.266667,2.3
162000,3.566667,2.2
163000,3.533333,2.466667
164000,3.333333,2.3
165000,2.966667,2.1
166000,3.333333,2.533333
167000,3.3,2.333333
168000,3.533333,2.133333
169000,3.266667,2.3
170000,3.1,2.1
171000,3.366667,2.266667
172000,3.366667,2.533333
173000,3.366667,2.4
174000,3.4,2.433333
175000,3.066667,2.066667
176000,3,2.066667
177000,3.433333,2.4
178000,3.1,2.1
179000,3.533333,2.533333
180000,2.766667,1.866667
181000,3.466667,2.433333
182000,3.066667,2.033333
183000,3.733333,2.4
184000,2.966667,2.166667
185000,3.4,2.366667
186000,3.266667,2.233333
187000,3.6,2.6
188000,3.1,2.066667
189000,3.833333,2.6
190000,3.1,1.933333
191000,3.566667,2.766667
192000,3.1,2.666667
193000,3.566667,2.766667
194000,3.2,2.2
195000,3.666667,2.466667
196000,3.3,2.366667
197000,3.866667,2.7
198000,3.5,2.166667
199000,3.766667,2.8
200000,3.3,2.066667
201000,4,2.766667
202000,3.633333,2.366667
203000,3.966667,2.866667
204000,3.266667,2.3
205000,3.833333,2.533333
206000,3.533333,2.4
207000,3.966667,3
208000,3.333333,2.533333
209000,4.1,2.766667
210000,3.333333,2.3
211000,4.2,2.8
212000,3.733333,2.433333
213000,4.1,2.933333
214000,3.933333,2.4
215000,3.5,2.233333
216000,4.2,3.033333
217000,3.933333,2.433333
218000,4.2,3.066667
219000,3.7,2.4
220000,3.966667,2.8
221000,3.8,2.433333
222000,4.433333,2.966667
223000,3.866667,2.6
224000,4.5,3.333333
225000,3.633333,2.4
226000,4.333333,3.233333
227000,3.933333,2.5
228000,4.5,3.133333
229000,3.833333,2.633333
230000,4.166667,2.833333
231000,4.066667,2.666667
232000,4.533333,3.3
233000,3.966667,2.633333
234000,4.533333,3.266667
235000,4,2.533333
236000,4.566667,3.3
237000,4.066667,2.733333
238000,4.7,3.2
239000,4.1,2.666667
240000,4.266667,2.966667
241000,4.333333,2.6
242000,4.633333,3.433333
243000,4.166667,2.766667
244000,5,3.6
245000,4.3,2.7
246000,5,3.566667
247000,4.233333,2.866667
248000,4.9,3.366667
249000,4.366667,2.7
250000,4.766667,3.266667
251000,4.466667,3.1
252000,5.733333,4.066667
253000,4.733333,2.866667
254000,5.166667,3.7
255000,4.566667,2.866667
256000,5.333333,3.7
257000,4.533333,3.066667
258000,5.533333,3.9
259000,4.966667,3.033333
260000,4.833333,3.466667
261000,5,3.733333
262000,5.166667,3.733333
263000,5.5,3.9
264000,5.466667,3.733333
265000,5.2,3.533333
266000,5.333333,3.766667
267000,5.366667,3.866667
268000,5.2,3.866667
269000,5.7,4.3
270000,5.1,3.6
271000,5.266667,3.966667
272000,5.666667,4.1
273000,5.533333,3.866667
274000,5.5,3.833333
275000,5.266667,3.6
276000,5.7,3.866667
277000,5.6,3.933333
278000,5.666667,4
279000,5.6,4.033333
280000,5.2,3.6
281000,5.533333,4.066667
282000,5.6,4.133333
283000,5.8,4.033333
284000,5.633333,4.1
285000,5.4,3.833333
286000,5.733333,4.066667
287000,5.8,4.066667
288000,5.7,4.133333
289000,5.7,4.366667
290000,5.3,3.833333
291000,5.833333,4.066667
292000,5.833333,4.166667
293000,5.933333,4.1
294000,5.9,4.266667
295000,5.8,3.9
296000,5.766667,4.233333
297000,5.966667,4.366667
298000,5.966667,4.266667
299000,6.1,4.233333
300000,5.7,3.833333
301000,6.033333,4.433333
302000,6.033333,4.333333
303000,6.033333,4.266667
304000,5.9,4.433333
305000,6.166667,4.166667
306000,6.233333,4.533333
307000,6.166667,4.5
308000,6.166667,4.466667
309000,6.266667,4.533333
310000,5.8,4
311000,6.3,4.433333
312000,6.266667,4.566667
313000,6.366667,4.5
314000,6.633333,4.833333
315000,6.066667,4.266667
316000,6.4,4.5
317000,6.266667,4.533333
318000,6.633333,4.533333
319000,6.466667,4.533333
320000,8.1,6.633333
321000,6.533333,4.666667
322000,6.433333,4.666667
323000,6.466667,4.633333
324000,6.566667,4.6
325000,6.233333,4.633333
326000,6.333333,4.733333
327000,6.466667,4.8
328000,6.7,4.766667
329000,6.7,4.966667
330000,6.233333,4.4
331000,6.733333,4.766667
332000,6.633333,4.933333
333000,6.566667,4.9
334000,6.9,5.066667
335000,6.566667,4.533333
336000,6.9,4.933333
337000,6.833333,4.866667
338000,6.8,4.866667
339000,6.933333,4.9
340000,6.433333,4.6
341000,6.833333,4.966667
342000,6.9,4.933333
343000,6.8,4.766667
344000,7.1,5
345000,6.9,4.766667
346000,7.033333,5
347000,7.033333,4.966667
348000,7.033333,4.966667
349000,7.066667,5.1
350000,6.566667,4.633333
351000,7.133333,5.1
352000,7.1,5.333333
353000,7.133333,5.233333
354000,7.1,5.1
355000,6.833333,4.9
356000,7.133333,5.333333
