Array Length,Merge Sort,Quicksort,Counting Sort,Radix Sort: $b=n$,QR Sort: $d=n$
10000, 1259029900, 847307800, 1640018800, 930049800, 580289800
20000, 2717869700, 1785892800, 1780023000, 1860054000, 1160169000
30000, 4243543700, 2868920100, 1920020600, 2790051600, 1740121600
40000, 5835863000, 3905156200, 2060024000, 3720055000, 2320105000
50000, 7456934100, 5040911300, 2200021400, 4650052400, 2900092400
60000, 9086813500, 6017626800, 2340022000, 5580053000, 3480083000
70000, 10756100200, 7176880100, 2480025000, 6510056000, 4060081000
80000, 12471944500, 8175654400, 2620028000, 7440059000, 4640079000
90000, 14191918300, 9447281500, 2760026600, 8370057600, 5220072600
100000, 15914514300, 10629236300, 2900027000, 9300058000, 5800073000
110000, 17643462800, 11866772300, 3040026200, 10230057200, 6380067200
120000, 19374204100, 13024290300, 3180023000, 11160054000, 6960064000
130000, 21106044300, 14035257400, 3320027400, 12090058400, 7540063400
140000, 22911279800, 15276998500, 3460026200, 13020057200, 8120062200
150000, 24727146300, 16213043600, 3600025600, 13950056600, 8700061600
160000, 26543585500, 17535859000, 3740026800, 14880057800, 9280062800
170000, 28362809500, 18692210200, 3880025600, 15810056600, 9860056600
180000, 30183395800, 20354322300, 4020027600, 16740058600, 10440058600
190000, 32005032400, 21502124700, 4160025400, 17670056400, 11020056400
200000, 33828618000, 22722467700, 4300026600, 18600057600, 11600057600
210000, 35657922400, 23986135100, 4440027600, 19530058600, 12180058600
220000, 37486436700, 25042135900, 4580027400, 20460058400, 12760058400
230000, 39316572900, 26537436800, 4720028200, 21390059200, 13340059200
240000, 41148174400, 27403685400, 4860030800, 22320061800, 13920061800
250000, 42979608900, 28695894600, 5000024400, 23250055400, 14500055400
260000, 44811415700, 29701483500, 5140025800, 24180056800, 15080051800
270000, 46708540300, 31685392900, 5280030000, 25110061000, 15660056000
280000, 48623722500, 32317192900, 5420027400, 26040058400, 16240053400
290000, 50538431200, 34691683900, 5560030000, 26970061000, 16820056000
300000, 52454227200, 34747852000, 5700028200, 27900059200, 17400054200
310000, 54371415300, 36938933800, 5840029200, 28830060200, 17980055200
320000, 56287954600, 37422630700, 5980026400, 29760057400, 18560052400
330000, 58205551000, 39541378500, 6120027600, 30690058600, 19140053600
340000, 60125757200, 40885336700, 6260029200, 31620060200, 19720055200
350000, 62046504300, 41443496000, 6400031200, 32550062200, 20300057200
360000, 63966897500, 43236153000, 6540030800, 33480061800, 20880056800
370000, 65888021700, 44908721700, 6680027200, 34410058200, 21460053200
380000, 67809756300, 46228336700, 6820034400, 35340065400, 22040060400
