Array Length,Radix Sort: $b=n$,QR Sort: $d=n$
10, 4351400, 98551400
20, 6654800, 99102800
30, 8427600, 99655600
40, 11197000, 100205000
50, 11800200, 100756200
60, 14139000, 101305000
70, 16479400, 101855400
80, 18818400, 102404400
90, 21160000, 102956000
100, 23499000, 103505000
110, 25840400, 104056400
120, 22279000, 104605000
130, 24130000, 105156000
140, 25983400, 105709400
150, 27830400, 106256400
160, 29683000, 106809000
170, 31531800, 107357800
180, 33381000, 107907000
190, 35231200, 108457200
200, 37082600, 109008600
210, 38932000, 109558000
220, 40784000, 110110000
230, 42633200, 110659200
240, 44482800, 111208800
250, 46333000, 111759000
260, 48182800, 112308800
270, 50032800, 112858800
280, 51881400, 113407400
290, 53732800, 113958800
300, 55582800, 114508800
310, 57431800, 115057800
320, 59281800, 115607800
330, 61132800, 116158800
340, 62983200, 116709200
350, 64833000, 117259000
360, 66683600, 117809600
370, 68530000, 118356000
380, 70383000, 118909000
390, 72234000, 119460000
400, 74084000, 120010000
410, 75934200, 120560200
420, 77782000, 121108000
430, 79633200, 121659200
440, 81483400, 122209400
450, 83332600, 122758600
460, 85183200, 123309200
470, 87033200, 123859200
480, 88885200, 124411200
490, 90737400, 124963400
500, 92588200, 125514200
510, 94433400, 126059400
520, 96282400, 126608400
530, 98133400, 127159400
540, 76745200, 127709200
550, 78164000, 128258000
560, 79583200, 128807200
570, 81009000, 129363000
580, 82425200, 129909200
590, 83848400, 130462400
600, 85266000, 131010000
610, 86686200, 131560200
620, 88104200, 132108200
630, 89525800, 132659800
640, 90947200, 133211200
650, 92365600, 133759600
660, 93787000, 134311000
670, 95205600, 134859600
680, 96625800, 135409800
690, 98047200, 135961200
700, 99466800, 136510800
710, 100885000, 137059000
720, 102308200, 137612200
730, 103726600, 138160600
740, 105143200, 138707200
750, 106569000, 139263000
760, 107988000, 139812000
770, 109407400, 140361400
780, 110823600, 140907600
790, 112246400, 141460400
800, 113665800, 142009800
810, 115085200, 142559200
820, 116507800, 143111800
830, 117926600, 143660600
840, 119346800, 144210800
850, 120768200, 144762200
860, 122187200, 145311200
870, 123606000, 145860000
880, 125030200, 146414200
890, 126448200, 146962200
900, 127869800, 147513800
910, 129286200, 148060200
920, 130706000, 148610000
930, 132125400, 149159400
940, 133547400, 149711400
950, 134965600, 150259600
960, 136387400, 150811400
970, 137804800, 151358800
980, 139227000, 151911000
990, 140647800, 152461800
1000, 142065200, 153009200
1010, 143485400, 153559400
1020, 144906600, 154110600
1030, 146327400, 154661400
1040, 147748200, 155212200
1050, 149164600, 155758600
1060, 150587200, 156311200
1070, 152004400, 156858400
1080, 153426400, 157410400
1090, 154845800, 157959800
1100, 156266200, 158510200
1110, 157686600, 159060600
1120, 159108400, 159612400
1130, 160526400, 160160400
1140, 161947200, 160711200
1150, 163368000, 161262000
1160, 164789400, 161813400
1170, 166204800, 162358800
1180, 167629000, 162913000
1190, 169046800, 163460800
1200, 170466600, 164010600
1210, 171885000, 164559000
1220, 173303800, 165107800
1230, 174725800, 165659800
1240, 176148000, 166212000
1250, 177568800, 166762800
1260, 178985800, 167309800
1270, 180407000, 167861000
1280, 181829400, 168413400
1290, 183246000, 168960000
1300, 184667400, 169511400
1310, 186089200, 170063200
1320, 187508200, 170612200
1330, 188926800, 171160800
1340, 190349400, 171713400
1350, 191767400, 172261400
1360, 193183800, 172807800
1370, 194609200, 173363200
1380, 196029800, 173913800
1390, 197447600, 174461600
1400, 198868400, 175012400
1410, 200289400, 175563400
1420, 201706200, 176110200
1430, 203128800, 176662800
1440, 204548000, 177212000
1450, 205969000, 177763000
1460, 207389400, 178313400
1470, 208806200, 178860200
1480, 210228600, 179412600
1490, 211647800, 179961800
1500, 213067600, 180511600
1510, 214487800, 181061800
1520, 215907600, 181611600
1530, 217328600, 182162600
1540, 218748200, 182712200
1550, 220168200, 183262200
1560, 221588600, 183812600
1570, 223005400, 184359400
1580, 224426200, 184910200
1590, 225846400, 185460400
1600, 227269600, 186013600
1610, 228687800, 186561800
1620, 230107200, 187111200
1630, 231526400, 187660400
1640, 232947800, 188211800
1650, 234367600, 188761600
1660, 235788000, 189312000
1670, 237209200, 189863200
1680, 238628600, 190412600
1690, 240047200, 190961200
1700, 241468800, 191512800
1710, 242889400, 192063400
1720, 244309600, 192613600
1730, 245726400, 193160400
1740, 247151400, 193715400
1750, 248567400, 194261400
1760, 249987200, 194811200
1770, 251408800, 195362800
1780, 252828600, 195912600
1790, 254246000, 196460000
1800, 255668400, 197012400
1810, 257086200, 197560200
1820, 258508600, 198112600
1830, 259928600, 198662600
1840, 261347600, 199211600
1850, 262768800, 199762800
1860, 264189600, 200313600
1870, 265607600, 200861600
1880, 267031600, 201415600
1890, 268447200, 201961200
1900, 269868400, 202512400
1910, 271290200, 203064200
1920, 272709200, 203613200
1930, 274130000, 204164000
1940, 275545800, 204709800
1950, 276971000, 205265000
1960, 278388600, 205812600
1970, 279806600, 206360600
1980, 281228600, 206912600
1990, 282648000, 207462000
2000, 284067600, 208011600
2010, 285488000, 208562000
2020, 286908800, 209112800
2030, 288329400, 209663400
2040, 289746600, 210210600
2050, 291168600, 210762600
2060, 292587400, 211311400
2070, 294006000, 211860000
2080, 295429200, 212413200
2090, 296849000, 212963000
2100, 298266200, 213510200
2110, 299690400, 214064400
2120, 301108000, 214612000
2130, 302528000, 215162000
2140, 303947000, 215711000
2150, 305368200, 216262200
2160, 306789600, 216813600
2170, 308208400, 217362400
2180, 309628200, 217912200
2190, 311050600, 218464600
2200, 312469000, 219013000
2210, 313890400, 219564400
2220, 315306200, 220110200
2230, 316725800, 220659800
2240, 318148800, 221212800
2250, 319568200, 221762200
2260, 320990400, 222314400
2270, 322408400, 222862400
2280, 323829200, 223413200
2290, 325248800, 223962800
2300, 326666200, 224510200
2310, 328088800, 225062800
2320, 329504800, 225608800
2330, 330927600, 226161600
2340, 332346600, 226710600
2350, 333768000, 227262000
2360, 335187400, 227811400
2370, 336609600, 228363600
2380, 338028000, 228912000
2390, 339447600, 229461600
2400, 340869000, 230013000
2410, 342288800, 230562800
2420, 343709800, 231113800
2430, 345128400, 231662400
2440, 346549200, 232213200
2450, 347968400, 232762400
2460, 349389600, 233313600
2470, 350807000, 233861000
2480, 352232200, 234416200
2490, 353651000, 234965000
2500, 355069800, 235513800
2510, 356488800, 236062800
2520, 357907600, 236611600
2530, 359327800, 237161800
2540, 360748400, 237712400
2550, 362168800, 238262800
2560, 363589200, 238813200
2570, 365010000, 239364000
2580, 366427200, 239911200
2590, 367849400, 240463400
2600, 369269200, 241013200
2610, 370691200, 241565200
2620, 372111200, 242115200
2630, 373528600, 242662600
2640, 374947600, 243211600
2650, 376367200, 243761200
2660, 377789600, 244313600
2670, 379211400, 244865400
2680, 380630000, 245414000
2690, 382049000, 245963000
2700, 383467800, 246511800
2710, 384887000, 247061000
2720, 386309600, 247613600
2730, 387729800, 248163800
2740, 389149200, 248713200
2750, 390571800, 249265800
2760, 391988400, 249812400
2770, 393407600, 250361600
2780, 394831000, 250915000
2790, 396250600, 251464600
2800, 397668600, 252012600
2810, 399085800, 252559800
2820, 400508400, 253112400
2830, 401928600, 253662600
2840, 403350400, 254214400
2850, 404770600, 254764600
2860, 406185400, 255309400
