Array Length,QR Sort: d=\sqrt{m}$,QR Sort: $d=2^{16}$,QR Sort: $d=2^{16}$ (Bitwise)
10000, 551826800, 559492800, 279492800
20000, 1101831000, 1109497000, 549497000
30000, 1651828600, 1659494600, 819494600
40000, 2201832000, 2209498000, 1089498000
50000, 2751829400, 2759495400, 1359495400
60000, 3301830000, 3309496000, 1629496000
70000, 3851832600, 3859498600, 1899498600
80000, 4401836000, 4409502000, 2169502000
90000, 4951834000, 4959500000, 2439500000
100000, 5501834800, 5509500800, 2709500800
110000, 6051833400, 6059499400, 2979499400
120000, 6601830200, 6609496200, 3249496200
130000, 7151834800, 7159500800, 3519500800
140000, 7701833200, 7709499200, 3789499200
150000, 8251833200, 8259499200, 4059499200
160000, 8801834000, 8809500000, 4329500000
170000, 9351832600, 9359498600, 4599498600
180000, 9901834600, 9909500600, 4869500600
190000, 10451831600, 10459497600, 5139497600
200000, 11001832600, 11009498600, 5409498600
210000, 11551833600, 11559499600, 5679499600
220000, 12101834400, 12109500400, 5949500400
230000, 12651834600, 12659500600, 6219500600
240000, 13201837200, 13209503200, 6489503200
250000, 13751831400, 13759497400, 6759497400
260000, 14301832000, 14309498000, 7029498000
270000, 14851836800, 14859502800, 7299502800
280000, 15401833400, 15409499400, 7569499400
290000, 15951836400, 15959502400, 7839502400
300000, 16501833400, 16509499400, 8109499400
310000, 17051835200, 17059501200, 8379501200
320000, 17601832600, 17609498600, 8649498600
330000, 18151834200, 18159500200, 8919500200
340000, 18701835200, 18709501200, 9189501200
350000, 19251837400, 19259503400, 9459503400
360000, 19801836000, 19809502000, 9729502000
370000, 20351833400, 20359499400, 9999499400
380000, 20901838800, 20909504800, 10269504800
390000, 21451832000, 21459498000, 10539498000
400000, 22001833600, 22009499600, 10809499600
410000, 22551834200, 22559500200, 11079500200
420000, 23101834800, 23109500800, 11349500800
430000, 23651833000, 23659499000, 11619499000
440000, 24201833000, 24209499000, 11889499000
450000, 24751833800, 24759499800, 12159499800
460000, 25301834600, 25309500600, 12429500600
470000, 25851831400, 25859497400, 12699497400
480000, 26401832600, 26409498600, 12969498600
490000, 26951835000, 26959501000, 13239501000
500000, 27501834000, 27509500000, 13509500000
510000, 28051830800, 28059496800, 13779496800
520000, 28601836600, 28609502600, 14049502600
530000, 29151833400, 29159499400, 14319499400
540000, 29701834000, 29709500000, 14589500000
550000, 30251834000, 30259500000, 14859500000
560000, 30801830000, 30809496000, 15129496000
570000, 31351834200, 31359500200, 15399500200
580000, 31901832200, 31909498200, 15669498200
590000, 32451831000, 32459497000, 15939497000
600000, 33001834400, 33009500400, 16209500400
610000, 33551837000, 33559503000, 16479503000
620000, 34101831600, 34109497600, 16749497600
630000, 34651833200, 34659499200, 17019499200
640000, 35201835600, 35209501600, 17289501600
650000, 35751834000, 35759500000, 17559500000
660000, 36301833600, 36309499600, 17829499600
670000, 36851831600, 36859497600, 18099497600
680000, 37401833400, 37409499400, 18369499400
690000, 37951832000, 37959498000, 18639498000
700000, 38501837400, 38509503400, 18909503400
710000, 39051832600, 39059498600, 19179498600
720000, 39601835800, 39609501800, 19449501800
730000, 40151836200, 40159502200, 19719502200
740000, 40701837200, 40709503200, 19989503200
750000, 41251835000, 41259501000, 20259501000
760000, 41801834400, 41809500400, 20529500400
770000, 42351835000, 42359501000, 20799501000
780000, 42901832400, 42909498400, 21069498400
790000, 43451836800, 43459502800, 21339502800
800000, 44001833800, 44009499800, 21609499800
810000, 44551833200, 44559499200, 21879499200
820000, 45101833000, 45109499000, 22149499000
830000, 45651833600, 45659499600, 22419499600
840000, 46201834400, 46209500400, 22689500400
850000, 46751830000, 46759496000, 22959496000
860000, 47301830800, 47309496800, 23229496800
870000, 47851833800, 47859499800, 23499499800
880000, 48401833000, 48409499000, 23769499000
890000, 48951835000, 48959501000, 24039501000
900000, 49501830600, 49509496600, 24309496600
910000, 50051835200, 50059501200, 24579501200
920000, 50601834800, 50609500800, 24849500800
930000, 51151835400, 51159501400, 25119501400
940000, 51701833800, 51709499800, 25389499800
950000, 52251832200, 52259498200, 25659498200
960000, 52801831000, 52809497000, 25929497000
970000, 53351829600, 53359495600, 26199495600
980000, 53901833800, 53909499800, 26469499800
990000, 54451832600, 54459498600, 26739498600
1000000, 55001833200, 55009499200, 27009499200
