Array Length,QR Sort: d=\sqrt{m}$,QR Sort: $d=2^{16}$,QR Sort: $d=2^{16}$ (Bitwise)
10000, 555693800, 643867800, 363867800
20000, 1105698000, 1193872000, 633872000
30000, 1655695600, 1743869600, 903869600
40000, 2205699000, 2293873000, 1173873000
50000, 2755696400, 2843870400, 1443870400
60000, 3305697000, 3393871000, 1713871000
70000, 3855700000, 3943874000, 1983874000
80000, 4405703000, 4493877000, 2253877000
90000, 4955701600, 5043875600, 2523875600
100000, 5505702000, 5593876000, 2793876000
110000, 6055701200, 6143875200, 3063875200
120000, 6605698000, 6693872000, 3333872000
130000, 7155702400, 7243876400, 3603876400
140000, 7705701200, 7793875200, 3873875200
150000, 8255700600, 8343874600, 4143874600
160000, 8805701800, 8893875800, 4413875800
170000, 9355700600, 9443874600, 4683874600
180000, 9905702600, 9993876600, 4953876600
190000, 10455700400, 10543874400, 5223874400
200000, 11005701600, 11093875600, 5493875600
210000, 11555702600, 11643876600, 5763876600
220000, 12105702400, 12193876400, 6033876400
230000, 12655703200, 12743877200, 6303877200
240000, 13205705800, 13293879800, 6573879800
250000, 13755699400, 13843873400, 6843873400
260000, 14305700800, 14393874800, 7113874800
270000, 14855705000, 14943879000, 7383879000
280000, 15405702400, 15493876400, 7653876400
290000, 15955705000, 16043879000, 7923879000
300000, 16505703200, 16593877200, 8193877200
310000, 17055704200, 17143878200, 8463878200
320000, 17605701400, 17693875400, 8733875400
330000, 18155702600, 18243876600, 9003876600
340000, 18705704200, 18793878200, 9273878200
350000, 19255706200, 19343880200, 9543880200
360000, 19805705800, 19893879800, 9813879800
370000, 20355702200, 20443876200, 10083876200
380000, 20905709400, 20993883400, 10353883400
390000, 21455701400, 21543875400, 10623875400
400000, 22005703200, 22093877200, 10893877200
410000, 22555703800, 22643877800, 11163877800
420000, 23105703800, 23193877800, 11433877800
430000, 23655702800, 23743876800, 11703876800
440000, 24205703000, 24293877000, 11973877000
450000, 24755703400, 24843877400, 12243877400
460000, 25305704400, 25393878400, 12513878400
470000, 25855700600, 25943874600, 12783874600
480000, 26405701600, 26493875600, 13053875600
490000, 26955704200, 27043878200, 13323878200
500000, 27505703200, 27593877200, 13593877200
510000, 28055700800, 28143874800, 13863874800
520000, 28605706800, 28693880800, 14133880800
530000, 29155703800, 29243877800, 14403877800
540000, 29705703800, 29793877800, 14673877800
550000, 30255703400, 30343877400, 14943877400
560000, 30805699800, 30893873800, 15213873800
570000, 31355703600, 31443877600, 15483877600
580000, 31905702000, 31993876000, 15753876000
590000, 32455700600, 32543874600, 16023874600
600000, 33005704800, 33093878800, 16293878800
610000, 33555708400, 33643882400, 16563882400
620000, 34105701400, 34193875400, 16833875400
630000, 34655703000, 34743877000, 17103877000
640000, 35205705400, 35293879400, 17373879400
650000, 35755703800, 35843877800, 17643877800
660000, 36305703600, 36393877600, 17913877600
670000, 36855700000, 36943874000, 18183874000
680000, 37405703000, 37493877000, 18453877000
690000, 37955703000, 38043877000, 18723877000
700000, 38505707400, 38593881400, 18993881400
710000, 39055704000, 39143878000, 19263878000
720000, 39605705800, 39693879800, 19533879800
730000, 40155707600, 40243881600, 19803881600
740000, 40705707400, 40793881400, 20073881400
750000, 41255706000, 41343880000, 20343880000
760000, 41805703400, 41893877400, 20613877400
770000, 42355705800, 42443879800, 20883879800
780000, 42905702600, 42993876600, 21153876600
790000, 43455705800, 43543879800, 21423879800
800000, 44005703600, 44093877600, 21693877600
810000, 44555703200, 44643877200, 21963877200
820000, 45105704000, 45193878000, 22233878000
830000, 45655703600, 45743877600, 22503877600
840000, 46205706400, 46293880400, 22773880400
850000, 46755702000, 46843876000, 23043876000
860000, 47305701000, 47393875000, 23313875000
870000, 47855704200, 47943878200, 23583878200
880000, 48405704400, 48493878400, 23853878400
890000, 48955706000, 49043880000, 24123880000
900000, 49505700800, 49593874800, 24393874800
910000, 50055704600, 50143878600, 24663878600
920000, 50605705200, 50693879200, 24933879200
930000, 51155706000, 51243880000, 25203880000
940000, 51705704600, 51793878600, 25473878600
950000, 52255702600, 52343876600, 25743876600
960000, 52805701800, 52893875800, 26013875800
970000, 53355701000, 53443875000, 26283875000
980000, 53905704800, 53993878800, 26553878800
990000, 54455702600, 54543876600, 26823876600
1000000, 55005702600, 55093876600, 27093876600
