Array Length,QR Sort: d=\sqrt{m}$,QR Sort: $d=2^{16}$,QR Sort: $d=2^{16}$ (Bitwise)
10000, 567925800, 1487617800, 1207617800
20000, 1117930000, 2037622000, 1477622000
30000, 1667927600, 2587619600, 1747619600
40000, 2217931000, 3137623000, 2017623000
50000, 2767928400, 3687620400, 2287620400
60000, 3317929000, 4237621000, 2557621000
70000, 3867932000, 4787624000, 2827624000
80000, 4417935000, 5337627000, 3097627000
90000, 4967933600, 5887625600, 3367625600
100000, 5517934000, 6437626000, 3637626000
110000, 6067933200, 6987625200, 3907625200
120000, 6617930000, 7537622000, 4177622000
130000, 7167934400, 8087626400, 4447626400
140000, 7717933200, 8637625200, 4717625200
150000, 8267932600, 9187624600, 4987624600
160000, 8817933800, 9737625800, 5257625800
170000, 9367932600, 10287624600, 5527624600
180000, 9917934600, 10837626600, 5797626600
190000, 10467932400, 11387624400, 6067624400
200000, 11017933600, 11937625600, 6337625600
210000, 11567934600, 12487626600, 6607626600
220000, 12117934400, 13037626400, 6877626400
230000, 12667935200, 13587627200, 7147627200
240000, 13217937800, 14137629800, 7417629800
250000, 13767931400, 14687623400, 7687623400
260000, 14317932800, 15237624800, 7957624800
270000, 14867937000, 15787629000, 8227629000
280000, 15417934400, 16337626400, 8497626400
290000, 15967937000, 16887629000, 8767629000
300000, 16517935200, 17437627200, 9037627200
310000, 17067936200, 17987628200, 9307628200
320000, 17617933400, 18537625400, 9577625400
330000, 18167934600, 19087626600, 9847626600
340000, 18717936200, 19637628200, 10117628200
350000, 19267938200, 20187630200, 10387630200
360000, 19817937800, 20737629800, 10657629800
370000, 20367934200, 21287626200, 10927626200
380000, 20917941400, 21837633400, 11197633400
390000, 21467933400, 22387625400, 11467625400
400000, 22017935200, 22937627200, 11737627200
410000, 22567935800, 23487627800, 12007627800
420000, 23117935800, 24037627800, 12277627800
430000, 23667934800, 24587626800, 12547626800
440000, 24217935000, 25137627000, 12817627000
450000, 24767935400, 25687627400, 13087627400
460000, 25317936400, 26237628400, 13357628400
470000, 25867932600, 26787624600, 13627624600
480000, 26417933600, 27337625600, 13897625600
490000, 26967936200, 27887628200, 14167628200
500000, 27517935200, 28437627200, 14437627200
510000, 28067932800, 28987624800, 14707624800
520000, 28617938800, 29537630800, 14977630800
530000, 29167935800, 30087627800, 15247627800
540000, 29717935800, 30637627800, 15517627800
550000, 30267935800, 31187627800, 15787627800
560000, 30817931800, 31737623800, 16057623800
570000, 31367935600, 32287627600, 16327627600
580000, 31917934000, 32837626000, 16597626000
590000, 32467932800, 33387624800, 16867624800
600000, 33017937000, 33937629000, 17137629000
610000, 33567940400, 34487632400, 17407632400
620000, 34117933600, 35037625600, 17677625600
630000, 34667935200, 35587627200, 17947627200
640000, 35217937800, 36137629800, 18217629800
650000, 35767936000, 36687628000, 18487628000
660000, 36317935600, 37237627600, 18757627600
670000, 36867932200, 37787624200, 19027624200
680000, 37417935800, 38337627800, 19297627800
690000, 37967935400, 38887627400, 19567627400
700000, 38517939400, 39437631400, 19837631400
710000, 39067936200, 39987628200, 20107628200
720000, 39617938200, 40537630200, 20377630200
730000, 40167939600, 41087631600, 20647631600
740000, 40717939400, 41637631400, 20917631400
750000, 41267938200, 42187630200, 21187630200
760000, 41817935800, 42737627800, 21457627800
770000, 42367938000, 43287630000, 21727630000
780000, 42917935600, 43837627600, 21997627600
790000, 43467938600, 44387630600, 22267630600
800000, 44017936800, 44937628800, 22537628800
810000, 44567935600, 45487627600, 22807627600
820000, 45117936400, 46037628400, 23077628400
830000, 45667935800, 46587627800, 23347627800
840000, 46217938800, 47137630800, 23617630800
850000, 46767934400, 47687626400, 23887626400
860000, 47317933600, 48237625600, 24157625600
870000, 47867937200, 48787629200, 24427629200
880000, 48417937000, 49337629000, 24697629000
890000, 48967938400, 49887630400, 24967630400
900000, 49517933200, 50437625200, 25237625200
910000, 50067937000, 50987629000, 25507629000
920000, 50617938000, 51537630000, 25777630000
930000, 51167938600, 52087630600, 26047630600
940000, 51717937000, 52637629000, 26317629000
950000, 52267935400, 53187627400, 26587627400
960000, 52817934400, 53737626400, 26857626400
970000, 53367934000, 54287626000, 27127626000
980000, 53917937600, 54837629600, 27397629600
990000, 54467935400, 55387627400, 27667627400
1000000, 55017934600, 55937626600, 27937626600
