Array Length,QR Sort: d=\sqrt{m}$,QR Sort: $d=2^{16}$,QR Sort: $d=2^{16}$ (Bitwise)
10000, 606605800, 9925117800, 9645117800
20000, 1156610000, 10475122000, 9915122000
30000, 1706607600, 11025119600, 10185119600
40000, 2256611000, 11575123000, 10455123000
50000, 2806608400, 12125120400, 10725120400
60000, 3356609000, 12675121000, 10995121000
70000, 3906612000, 13225124000, 11265124000
80000, 4456615000, 13775127000, 11535127000
90000, 5006613600, 14325125600, 11805125600
100000, 5556614000, 14875126000, 12075126000
110000, 6106613200, 15425125200, 12345125200
120000, 6656610000, 15975122000, 12615122000
130000, 7206614400, 16525126400, 12885126400
140000, 7756613200, 17075125200, 13155125200
150000, 8306612600, 17625124600, 13425124600
160000, 8856613800, 18175125800, 13695125800
170000, 9406612600, 18725124600, 13965124600
180000, 9956614600, 19275126600, 14235126600
190000, 10506612400, 19825124400, 14505124400
200000, 11056613600, 20375125600, 14775125600
210000, 11606614600, 20925126600, 15045126600
220000, 12156614400, 21475126400, 15315126400
230000, 12706615200, 22025127200, 15585127200
240000, 13256617800, 22575129800, 15855129800
250000, 13806611400, 23125123400, 16125123400
260000, 14356612800, 23675124800, 16395124800
270000, 14906617000, 24225129000, 16665129000
280000, 15456614400, 24775126400, 16935126400
290000, 16006617000, 25325129000, 17205129000
300000, 16556615200, 25875127200, 17475127200
310000, 17106616200, 26425128200, 17745128200
320000, 17656613400, 26975125400, 18015125400
330000, 18206614600, 27525126600, 18285126600
340000, 18756616200, 28075128200, 18555128200
350000, 19306618200, 28625130200, 18825130200
360000, 19856617800, 29175129800, 19095129800
370000, 20406614200, 29725126200, 19365126200
380000, 20956621400, 30275133400, 19635133400
390000, 21506613400, 30825125400, 19905125400
400000, 22056615200, 31375127200, 20175127200
410000, 22606615800, 31925127800, 20445127800
420000, 23156615800, 32475127800, 20715127800
430000, 23706614800, 33025126800, 20985126800
440000, 24256615000, 33575127000, 21255127000
450000, 24806615400, 34125127400, 21525127400
460000, 25356616400, 34675128400, 21795128400
470000, 25906612600, 35225124600, 22065124600
480000, 26456613600, 35775125600, 22335125600
490000, 27006616200, 36325128200, 22605128200
500000, 27556615200, 36875127200, 22875127200
510000, 28106612800, 37425124800, 23145124800
520000, 28656618800, 37975130800, 23415130800
530000, 29206615800, 38525127800, 23685127800
540000, 29756615800, 39075127800, 23955127800
550000, 30306615800, 39625127800, 24225127800
560000, 30856611800, 40175123800, 24495123800
570000, 31406615600, 40725127600, 24765127600
580000, 31956614000, 41275126000, 25035126000
590000, 32506612800, 41825124800, 25305124800
600000, 33056617000, 42375129000, 25575129000
610000, 33606620400, 42925132400, 25845132400
620000, 34156613600, 43475125600, 26115125600
630000, 34706615200, 44025127200, 26385127200
640000, 35256617800, 44575129800, 26655129800
650000, 35806616000, 45125128000, 26925128000
660000, 36356615600, 45675127600, 27195127600
670000, 36906612200, 46225124200, 27465124200
680000, 37456615800, 46775127800, 27735127800
690000, 38006615400, 47325127400, 28005127400
700000, 38556619400, 47875131400, 28275131400
710000, 39106616200, 48425128200, 28545128200
720000, 39656618200, 48975130200, 28815130200
730000, 40206619600, 49525131600, 29085131600
740000, 40756619400, 50075131400, 29355131400
750000, 41306618200, 50625130200, 29625130200
760000, 41856615800, 51175127800, 29895127800
770000, 42406618000, 51725130000, 30165130000
780000, 42956615600, 52275127600, 30435127600
790000, 43506618600, 52825130600, 30705130600
800000, 44056616800, 53375128800, 30975128800
810000, 44606615600, 53925127600, 31245127600
820000, 45156616400, 54475128400, 31515128400
830000, 45706615800, 55025127800, 31785127800
840000, 46256618800, 55575130800, 32055130800
850000, 46806614400, 56125126400, 32325126400
860000, 47356613600, 56675125600, 32595125600
870000, 47906617200, 57225129200, 32865129200
880000, 48456617000, 57775129000, 33135129000
890000, 49006618400, 58325130400, 33405130400
900000, 49556613200, 58875125200, 33675125200
910000, 50106617000, 59425129000, 33945129000
920000, 50656618000, 59975130000, 34215130000
930000, 51206618600, 60525130600, 34485130600
940000, 51756617000, 61075129000, 34755129000
950000, 52306615400, 61625127400, 35025127400
960000, 52856614400, 62175126400, 35295126400
970000, 53406614000, 62725126000, 35565126000
980000, 53956617600, 63275129600, 35835129600
990000, 54506615400, 63825127400, 36105127400
1000000, 55056614600, 64375126600, 36375126600
