Array Length,Radix Sort: Radix=Length,QR Sort: Divisor=Length
10, 4351400, 45000625400
20, 6654800, 22501226800
30, 8427600, 15001829600
40, 11197000, 11252429000
50, 11800200, 9003030200
60, 14139000, 7503629000
70, 16479400, 6432800400
80, 18818400, 5629828400
90, 21160000, 5005428000
100, 23499000, 4506029000
110, 25840400, 4097538400
120, 22279000, 3757229000
130, 24130000, 3469368000
140, 25983400, 3222717400
150, 27830400, 3009030400
160, 29683000, 2822133000
170, 31531800, 2657287800
180, 33381000, 2510830000
190, 35231200, 2379850200
200, 37082600, 2262032600
210, 38932000, 2155487000
220, 40784000, 2058688000
230, 42633200, 1970352200
240, 44482800, 1889432800
250, 46333000, 1815033000
260, 48182800, 1746401800
270, 50032800, 1682897800
280, 51881400, 1623973400
290, 53732800, 1569155800
300, 55582800, 1518032800
310, 57431800, 1470241800
320, 59281800, 1425481800
330, 61132800, 1383467800
340, 62983200, 1343961200
350, 64833000, 1306746000
360, 66683600, 1271631600
370, 68530000, 1238445000
380, 70383000, 1207041000
390, 72234000, 1177279000
400, 74084000, 1149034000
410, 75934200, 1122193200
420, 77782000, 1096658000
430, 79633200, 1072344200
440, 81483400, 1049160400
450, 83332600, 1027031600
460, 85183200, 1005891200
470, 87033200, 985677200
480, 88885200, 966335200
490, 90737400, 947803400
500, 92588200, 930038200
510, 94433400, 912984400
520, 96282400, 896615400
530, 98133400, 880887400
540, 76745200, 865764200
550, 78164000, 851213000
560, 79583200, 837202200
570, 81009000, 823708000
580, 82425200, 810693200
590, 83848400, 798147400
600, 85266000, 786034000
610, 86686200, 774337200
620, 88104200, 763037200
630, 89525800, 752118800
640, 90947200, 741560200
650, 92365600, 731340600
660, 93787000, 721451000
670, 95205600, 711873600
680, 96625800, 702597800
690, 98047200, 693608200
700, 99466800, 684889800
710, 100885000, 676434000
720, 102308200, 668235200
730, 103726600, 660271600
740, 105143200, 652537200
750, 106569000, 645037000
760, 107988000, 637740000
770, 109407400, 630650400
780, 110823600, 623752600
790, 112246400, 617053400
800, 113665800, 610533800
810, 115085200, 604188200
820, 116507800, 598013800
830, 117926600, 592000600
840, 119346800, 586147800
850, 120768200, 580446200
860, 122187200, 574889200
870, 123606000, 569473000
880, 125030200, 564200200
890, 126448200, 559053200
900, 127869800, 554035800
910, 129286200, 549139200
920, 130706000, 544363000
930, 132125400, 539703400
940, 133547400, 535157400
950, 134965600, 530715600
960, 136387400, 526385400
970, 137804800, 522149800
980, 139227000, 518018000
990, 140647800, 513980800
