Array Length,QR Sort: Divisor=Length,QR Sort: Divisor=16,QR Sort: Divisor=16 (Bitwise Operations)
10000, 580064800, 559492800, 279492800
20000, 1160054000, 1109497000, 549497000
30000, 1740046600, 1659494600, 819494600
40000, 2320050000, 2209498000, 1089498000
50000, 2900047400, 2759495400, 1359495400
60000, 2100035000, 3309496000, 1629496000
70000, 2450037600, 3859498600, 1899498600
80000, 2800041000, 4409502000, 2169502000
90000, 3150039000, 4959500000, 2439500000
100000, 3500039800, 5509500800, 2709500800
110000, 3850038400, 6059499400, 2979499400
120000, 4200035200, 6609496200, 3249496200
130000, 4550039800, 7159500800, 3519500800
140000, 4900038200, 7709499200, 3789499200
150000, 5250038200, 8259499200, 4059499200
160000, 5600039000, 8809500000, 4329500000
170000, 5950037600, 9359498600, 4599498600
180000, 6300039600, 9909500600, 4869500600
190000, 6650036600, 10459497600, 5139497600
200000, 7000037600, 11009498600, 5409498600
210000, 7350038600, 11559499600, 5679499600
220000, 7700039400, 12109500400, 5949500400
230000, 8050039600, 12659500600, 6219500600
240000, 8400042200, 13209503200, 6489503200
250000, 8750036400, 13759497400, 6759497400
260000, 9100037000, 14309498000, 7029498000
270000, 9450041800, 14859502800, 7299502800
280000, 9800038400, 15409499400, 7569499400
290000, 10150041400, 15959502400, 7839502400
300000, 10500038400, 16509499400, 8109499400
310000, 10850040200, 17059501200, 8379501200
320000, 11200037600, 17609498600, 8649498600
330000, 11550039200, 18159500200, 8919500200
340000, 11900040200, 18709501200, 9189501200
350000, 12250042400, 19259503400, 9459503400
360000, 12600041000, 19809502000, 9729502000
370000, 12950038400, 20359499400, 9999499400
380000, 13300043800, 20909504800, 10269504800
390000, 13650037000, 21459498000, 10539498000
400000, 14000038600, 22009499600, 10809499600
410000, 14350039200, 22559500200, 11079500200
420000, 14700039800, 23109500800, 11349500800
430000, 15050038000, 23659499000, 11619499000
440000, 15400038000, 24209499000, 11889499000
450000, 15750038800, 24759499800, 12159499800
460000, 16100039600, 25309500600, 12429500600
470000, 16450036400, 25859497400, 12699497400
480000, 16800037600, 26409498600, 12969498600
490000, 17150040000, 26959501000, 13239501000
500000, 17500039000, 27509500000, 13509500000
510000, 17850035800, 28059496800, 13779496800
520000, 18200041600, 28609502600, 14049502600
530000, 18550038400, 29159499400, 14319499400
540000, 18900039000, 29709500000, 14589500000
550000, 19250039000, 30259500000, 14859500000
560000, 19600035000, 30809496000, 15129496000
570000, 19950039200, 31359500200, 15399500200
580000, 20300037200, 31909498200, 15669498200
590000, 20650036000, 32459497000, 15939497000
600000, 21000039400, 33009500400, 16209500400
610000, 21350042000, 33559503000, 16479503000
620000, 21700036600, 34109497600, 16749497600
630000, 22050038200, 34659499200, 17019499200
640000, 22400040600, 35209501600, 17289501600
650000, 22750039000, 35759500000, 17559500000
660000, 23100038600, 36309499600, 17829499600
670000, 23450036600, 36859497600, 18099497600
680000, 23800038400, 37409499400, 18369499400
690000, 24150037000, 37959498000, 18639498000
700000, 24500042400, 38509503400, 18909503400
710000, 24850037600, 39059498600, 19179498600
720000, 25200040800, 39609501800, 19449501800
730000, 25550041200, 40159502200, 19719502200
740000, 25900042200, 40709503200, 19989503200
750000, 26250040000, 41259501000, 20259501000
760000, 26600039400, 41809500400, 20529500400
770000, 26950040000, 42359501000, 20799501000
780000, 27300037400, 42909498400, 21069498400
790000, 27650041800, 43459502800, 21339502800
800000, 28000038800, 44009499800, 21609499800
810000, 28350038200, 44559499200, 21879499200
820000, 28700038000, 45109499000, 22149499000
830000, 29050038600, 45659499600, 22419499600
840000, 29400039400, 46209500400, 22689500400
850000, 29750035000, 46759496000, 22959496000
860000, 30100035800, 47309496800, 23229496800
870000, 30450038800, 47859499800, 23499499800
880000, 30800038000, 48409499000, 23769499000
890000, 31150040000, 48959501000, 24039501000
900000, 31500035600, 49509496600, 24309496600
910000, 31850040200, 50059501200, 24579501200
920000, 32200039800, 50609500800, 24849500800
930000, 32550040400, 51159501400, 25119501400
940000, 32900038800, 51709499800, 25389499800
950000, 33250037200, 52259498200, 25659498200
960000, 33600036000, 52809497000, 25929497000
970000, 33950034600, 53359495600, 26199495600
980000, 34300038800, 53909499800, 26469499800
990000, 34650037600, 54459498600, 26739498600
1000000, 35000038200, 55009499200, 27009499200
