Array Length,QR Sort: Divisor=Length,QR Sort: Divisor=16,QR Sort: Divisor=16 (Bitwise Operations)
10000, 582539800, 1487617800, 1207617800
20000, 1161294000, 2037622000, 1477622000
30000, 1740871600, 2587619600, 1747619600
40000, 2320670000, 3137623000, 2017623000
50000, 2900542400, 3687620400, 2287620400
60000, 3480458000, 4237621000, 2557621000
70000, 4060401000, 4787624000, 2827624000
80000, 4640359000, 5337627000, 3097627000
90000, 5220322600, 5887625600, 3367625600
100000, 5800298000, 6437626000, 3637626000
110000, 6380272200, 6987625200, 3907625200
120000, 6960249000, 7537622000, 4177622000
130000, 7540238400, 8087626400, 4447626400
140000, 8120222200, 8637625200, 4717625200
150000, 8700211600, 9187624600, 4987624600
160000, 9280202800, 9737625800, 5257625800
170000, 9860191600, 10287624600, 5527624600
180000, 10440183600, 10837626600, 5797626600
190000, 11020176400, 11387624400, 6067624400
200000, 11600172600, 11937625600, 6337625600
210000, 12180163600, 12487626600, 6607626600
220000, 12760158400, 13037626400, 6877626400
230000, 13340154200, 13587627200, 7147627200
240000, 13920151800, 14137629800, 7417629800
250000, 14500145400, 14687623400, 7687623400
260000, 15080141800, 15237624800, 7957624800
270000, 15660141000, 15787629000, 8227629000
280000, 16240133400, 16337626400, 8497626400
290000, 16820136000, 16887629000, 8767629000
300000, 17400129200, 17437627200, 9037627200
310000, 17980130200, 17987628200, 9307628200
320000, 18560122400, 18537625400, 9577625400
330000, 19140123600, 19087626600, 9847626600
340000, 19720120200, 19637628200, 10117628200
350000, 20300122200, 20187630200, 10387630200
360000, 20880116800, 20737629800, 10657629800
370000, 21460113200, 21287626200, 10927626200
380000, 22040120400, 21837633400, 11197633400
390000, 22620107400, 22387625400, 11467625400
400000, 23200109200, 22937627200, 11737627200
410000, 23780109800, 23487627800, 12007627800
420000, 24360104800, 24037627800, 12277627800
430000, 24940103800, 24587626800, 12547626800
440000, 25520104000, 25137627000, 12817627000
450000, 26100104400, 25687627400, 13087627400
460000, 26680100400, 26237628400, 13357628400
470000, 27260096600, 26787624600, 13627624600
480000, 27840097600, 27337625600, 13897625600
490000, 28420100200, 27887628200, 14167628200
500000, 29000099200, 28437627200, 14437627200
510000, 29580091800, 28987624800, 14707624800
520000, 30160097800, 29537630800, 14977630800
530000, 30740094800, 30087627800, 15247627800
540000, 31320094800, 30637627800, 15517627800
550000, 31900094800, 31187627800, 15787627800
560000, 32480085800, 31737623800, 16057623800
570000, 33060089600, 32287627600, 16327627600
580000, 33640088000, 32837626000, 16597626000
590000, 34220086800, 33387624800, 16867624800
600000, 34800091000, 33937629000, 17137629000
610000, 35380094400, 34487632400, 17407632400
620000, 35960087600, 35037625600, 17677625600
630000, 36540084200, 35587627200, 17947627200
640000, 37120086800, 36137629800, 18217629800
650000, 37700085000, 36687628000, 18487628000
660000, 38280084600, 37237627600, 18757627600
670000, 38860081200, 37787624200, 19027624200
680000, 39440084800, 38337627800, 19297627800
690000, 40020084400, 38887627400, 19567627400
700000, 40600088400, 39437631400, 19837631400
710000, 41180085200, 39987628200, 20107628200
720000, 41760082200, 40537630200, 20377630200
730000, 42340083600, 41087631600, 20647631600
740000, 42920083400, 41637631400, 20917631400
750000, 43500082200, 42187630200, 21187630200
760000, 44080079800, 42737627800, 21457627800
770000, 44660082000, 43287630000, 21727630000
780000, 45240079600, 43837627600, 21997627600
790000, 45820082600, 44387630600, 22267630600
800000, 46400080800, 44937628800, 22537628800
810000, 46980079600, 45487627600, 22807627600
820000, 47560080400, 46037628400, 23077628400
830000, 48140079800, 46587627800, 23347627800
840000, 48720077800, 47137630800, 23617630800
850000, 49300073400, 47687626400, 23887626400
860000, 49880072600, 48237625600, 24157625600
870000, 50460076200, 48787629200, 24427629200
880000, 51040076000, 49337629000, 24697629000
890000, 51620077400, 49887630400, 24967630400
900000, 52200072200, 50437625200, 25237625200
910000, 52780076000, 50987629000, 25507629000
920000, 53360077000, 51537630000, 25777630000
930000, 53940077600, 52087630600, 26047630600
940000, 54520076000, 52637629000, 26317629000
950000, 55100074400, 53187627400, 26587627400
960000, 55680073400, 53737626400, 26857626400
970000, 56260073000, 54287626000, 27127626000
980000, 56840076600, 54837629600, 27397629600
990000, 57420074400, 55387627400, 27667627400
1000000, 58000073600, 55937626600, 27937626600
