Array Length, QR Sort Set Divisor
1000, 0.000000
2000, 0.066667
3000, 0.000000
4000, 0.033333
5000, 0.000000
6000, 0.033333
7000, 0.000000
8000, 0.100000
9000, 0.000000
10000, 0.100000
11000, 0.166667
12000, 0.100000
13000, 0.133333
14000, 0.100000
15000, 0.100000
16000, 0.233333
17000, 0.333333
18000, 0.133333
19000, 0.300000
20000, 0.166667
21000, 0.233333
22000, 0.133333
23000, 0.200000
24000, 0.266667
25000, 0.266667
26000, 0.366667
27000, 0.300000
28000, 0.300000
29000, 0.233333
30000, 0.300000
31000, 0.366667
32000, 0.333333
33000, 0.333333
34000, 0.266667
35000, 0.300000
36000, 0.233333
37000, 0.366667
38000, 0.366667
39000, 0.400000
40000, 0.400000
41000, 0.333333
42000, 0.433333
43000, 0.366667
44000, 0.366667
45000, 0.433333
46000, 0.433333
47000, 0.433333
48000, 0.533333
49000, 0.400000
50000, 0.566667
51000, 0.533333
52000, 0.600000
53000, 0.366667
54000, 0.366667
55000, 0.333333
56000, 0.566667
57000, 0.633333
58000, 0.633333
59000, 0.566667
60000, 0.600000
61000, 0.533333
62000, 0.633333
63000, 0.533333
64000, 0.600000
65000, 0.566667
66000, 0.600000
67000, 0.733333
68000, 0.666667
69000, 0.666667
70000, 0.800000
71000, 0.500000
72000, 0.666667
73000, 0.433333
74000, 0.633333
75000, 0.733333
76000, 0.733333
77000, 0.800000
78000, 0.800000
79000, 0.733333
80000, 0.966667
81000, 0.900000
82000, 0.700000
83000, 0.800000
84000, 0.700000
85000, 0.966667
86000, 0.733333
87000, 0.766667
88000, 0.866667
89000, 0.666667
90000, 0.933333
91000, 0.900000
92000, 1.033333
93000, 0.900000
94000, 0.866667
95000, 0.866667
96000, 0.900000
97000, 0.966667
98000, 1.000000
99000, 1.033333
100000, 1.033333
101000, 1.133333
102000, 1.033333
103000, 1.066667
104000, 0.900000
105000, 1.000000
106000, 1.033333
107000, 0.966667
108000, 1.033333
109000, 1.100000
110000, 0.966667
111000, 0.966667
112000, 0.966667
113000, 1.333333
114000, 1.100000
115000, 1.033333
116000, 1.033333
117000, 1.166667
118000, 1.133333
119000, 1.066667
120000, 1.266667
121000, 1.166667
122000, 1.200000
123000, 1.100000
124000, 1.133333
125000, 1.066667
126000, 1.133333
127000, 1.200000
128000, 1.433333
129000, 1.300000
130000, 1.166667
131000, 1.300000
132000, 1.266667
133000, 1.233333
134000, 1.333333
135000, 1.266667
136000, 1.333333
137000, 1.200000
138000, 1.233333
139000, 1.333333
140000, 1.200000
141000, 1.166667
142000, 1.300000
143000, 1.333333
144000, 1.300000
145000, 1.400000
146000, 1.300000
147000, 1.266667
148000, 1.366667
149000, 1.466667
150000, 1.466667
151000, 1.266667
152000, 1.433333
153000, 1.500000
154000, 1.400000
155000, 1.500000
156000, 1.466667
157000, 1.500000
158000, 1.566667
159000, 1.466667
160000, 1.966667
161000, 1.633333
162000, 1.533333
163000, 1.433333
164000, 1.466667
165000, 1.533333
166000, 1.433333
167000, 1.466667
168000, 1.700000
169000, 1.566667
170000, 1.466667
171000, 1.666667
172000, 1.733333
173000, 1.600000
174000, 1.733333
175000, 1.633333
176000, 1.833333
177000, 1.533333
178000, 1.733333
179000, 1.500000
180000, 1.800000
181000, 1.600000
182000, 1.700000
183000, 1.666667
184000, 1.700000
185000, 1.833333
186000, 1.633333
187000, 1.633333
188000, 1.800000
189000, 1.666667
190000, 1.533333
191000, 1.833333
192000, 1.933333
193000, 1.800000
194000, 2.000000
195000, 1.833333
196000, 1.833333
197000, 1.866667
198000, 1.766667
199000, 1.800000
200000, 2.533333
201000, 1.900000
202000, 1.833333
203000, 1.866667
204000, 1.866667
205000, 1.933333
206000, 1.900000
207000, 1.900000
208000, 2.000000
209000, 1.900000
210000, 2.033333
211000, 2.066667
212000, 2.000000
213000, 2.000000
214000, 2.066667
215000, 2.100000
216000, 2.000000
217000, 2.066667
218000, 2.033333
219000, 2.066667
220000, 1.966667
221000, 2.066667
222000, 2.100000
223000, 2.033333
224000, 1.933333
225000, 2.033333
226000, 2.066667
227000, 2.133333
228000, 2.266667
229000, 2.233333
230000, 2.100000
231000, 2.066667
232000, 2.133333
233000, 2.233333
234000, 2.333333
235000, 2.100000
236000, 2.166667
237000, 2.200000
238000, 2.200000
239000, 2.333333
240000, 2.133333
241000, 2.100000
242000, 2.266667
243000, 2.133333
244000, 2.266667
245000, 2.266667
246000, 2.366667
247000, 2.366667
248000, 2.366667
249000, 2.300000
250000, 2.400000
251000, 2.366667
252000, 2.333333
253000, 2.433333
254000, 2.266667
255000, 2.366667
256000, 2.400000
257000, 2.433333
258000, 2.266667
259000, 2.433333
260000, 2.533333
261000, 2.533333
262000, 2.533333
263000, 2.700000
264000, 2.833333
265000, 2.666667
266000, 2.566667
267000, 2.900000
268000, 2.900000
269000, 2.766667
270000, 2.700000
271000, 2.866667
272000, 3.200000
273000, 2.866667
274000, 2.800000
275000, 2.833333
276000, 2.833333
277000, 2.866667
278000, 2.933333
279000, 2.933333
280000, 3.000000
281000, 2.766667
282000, 2.933333
283000, 2.933333
284000, 2.833333
285000, 3.000000
286000, 2.866667
287000, 3.100000
288000, 2.933333
289000, 3.000000
290000, 3.133333
291000, 2.933333
292000, 3.066667
293000, 3.066667
294000, 3.100000
295000, 3.033333
296000, 3.066667
297000, 3.000000
298000, 3.133333
299000, 3.266667
300000, 3.233333
301000, 3.233333
302000, 3.200000
303000, 3.066667
304000, 3.133333
305000, 3.133333
306000, 3.200000
307000, 3.166667
308000, 3.233333
309000, 3.233333
310000, 3.200000
311000, 3.000000
312000, 3.166667
313000, 3.300000
314000, 3.100000
315000, 3.166667
316000, 3.333333
317000, 3.333333
318000, 3.366667
319000, 3.333333
320000, 3.633333
321000, 3.400000
322000, 3.300000
323000, 3.433333
324000, 3.266667
325000, 3.333333
326000, 3.466667
327000, 3.433333
328000, 3.533333
329000, 3.566667
330000, 3.533333
331000, 3.400000
332000, 3.500000
333000, 3.400000
334000, 3.400000
335000, 3.533333
336000, 3.666667
337000, 3.566667
338000, 3.466667
339000, 3.333333
340000, 3.433333
341000, 3.533333
342000, 3.300000
343000, 3.633333
344000, 3.633333
345000, 3.533333
346000, 3.433333
347000, 3.500000
348000, 3.700000
349000, 3.600000
350000, 3.700000
351000, 3.566667
352000, 3.766667
353000, 3.833333
354000, 3.633333
355000, 3.700000
356000, 3.700000
357000, 4.100000
358000, 3.600000
359000, 3.733333
360000, 3.766667
361000, 3.766667
362000, 3.666667
363000, 3.766667
364000, 3.700000
365000, 3.766667
366000, 3.733333
367000, 3.800000
368000, 3.833333
369000, 3.800000
370000, 3.900000
371000, 3.933333
372000, 4.033333
373000, 3.833333
374000, 3.900000
375000, 3.900000
376000, 3.900000
377000, 3.966667
378000, 3.833333
379000, 3.866667
380000, 3.933333
381000, 4.000000
382000, 4.133333
383000, 4.266667
384000, 3.933333
385000, 4.066667
386000, 4.000000
387000, 4.066667
388000, 4.033333
389000, 4.033333
390000, 4.000000
391000, 4.166667
392000, 4.066667
393000, 4.100000
394000, 4.100000
395000, 4.033333
396000, 4.033333
397000, 4.100000
398000, 4.033333
399000, 4.100000
400000, 5.566667
401000, 4.133333
402000, 4.100000
403000, 4.200000
404000, 4.100000
405000, 4.566667
406000, 4.366667
407000, 4.133333
408000, 4.266667
409000, 4.266667
410000, 4.166667
411000, 4.166667
412000, 4.400000
413000, 4.400000
414000, 4.266667
415000, 4.166667
416000, 4.500000
417000, 4.266667
418000, 4.400000
419000, 4.400000
420000, 4.266667
421000, 4.500000
422000, 4.333333
423000, 4.500000
424000, 4.566667
425000, 4.433333
426000, 4.400000
427000, 4.466667
428000, 4.533333
429000, 4.833333
430000, 4.566667
431000, 4.433333
432000, 4.333333
433000, 4.333333
434000, 4.600000
435000, 4.500000
436000, 4.400000
437000, 4.566667
438000, 4.500000
439000, 4.600000
440000, 4.700000
441000, 4.500000
442000, 4.666667
443000, 4.633333
444000, 4.666667
445000, 4.666667
446000, 4.633333
447000, 4.666667
448000, 4.833333
449000, 4.733333
450000, 4.766667
451000, 4.666667
452000, 4.866667
453000, 4.733333
454000, 4.800000
455000, 4.766667
456000, 4.833333
457000, 4.966667
458000, 4.833333
459000, 4.666667
460000, 4.866667
461000, 4.933333
462000, 4.900000
463000, 4.733333
464000, 4.800000
465000, 4.866667
466000, 4.900000
467000, 4.866667
468000, 5.033333
469000, 4.966667
470000, 5.100000
471000, 5.033333
472000, 5.033333
473000, 4.900000
474000, 4.933333
475000, 4.966667
476000, 4.900000
477000, 5.033333
478000, 5.033333
479000, 5.066667
480000, 5.133333
481000, 5.033333
482000, 5.000000
483000, 5.066667
484000, 5.100000
485000, 5.166667
486000, 5.100000
487000, 5.200000
488000, 5.133333
489000, 5.666667
490000, 5.366667
491000, 5.100000
492000, 5.233333
493000, 5.166667
494000, 5.300000
495000, 5.266667
496000, 5.133333
497000, 5.266667
498000, 5.300000
499000, 5.166667
500000, 5.766667
501000, 5.333333
502000, 5.266667
503000, 5.500000
504000, 5.100000
505000, 5.300000
506000, 5.233333
507000, 5.300000
508000, 5.400000
509000, 5.533333
510000, 5.700000
511000, 5.633333
512000, 5.466667
513000, 5.566667
514000, 5.333333
515000, 5.633333
516000, 5.566667
517000, 5.366667
518000, 5.600000
519000, 5.400000
520000, 5.466667
521000, 5.533333
522000, 5.600000
523000, 5.533333
524000, 5.566667
525000, 5.666667
526000, 5.633333
527000, 5.466667
528000, 5.433333
529000, 5.666667
530000, 5.766667
531000, 5.666667
532000, 5.566667
533000, 5.400000
534000, 6.033333
535000, 5.633333
536000, 5.666667
537000, 5.666667
538000, 5.733333
539000, 5.666667
540000, 5.733333
541000, 5.666667
542000, 5.666667
543000, 5.933333
544000, 5.666667
545000, 5.900000
546000, 5.866667
547000, 5.966667
548000, 5.866667
549000, 5.800000
550000, 5.933333
551000, 5.833333
552000, 5.900000
553000, 5.866667
554000, 5.766667
555000, 6.233333
556000, 5.966667
557000, 5.833333
558000, 5.966667
559000, 5.900000
560000, 5.866667
561000, 5.966667
562000, 6.100000
563000, 5.966667
564000, 5.833333
565000, 5.866667
566000, 5.966667
567000, 5.966667
568000, 5.833333
569000, 6.100000
570000, 6.066667
571000, 6.033333
572000, 5.966667
573000, 6.000000
574000, 5.933333
575000, 6.366667
576000, 5.933333
577000, 6.366667
578000, 6.400000
579000, 6.000000
580000, 6.066667
581000, 6.066667
582000, 6.033333
583000, 6.100000
584000, 6.133333
585000, 6.333333
586000, 6.066667
587000, 6.100000
588000, 6.266667
589000, 6.066667
590000, 6.000000
591000, 6.233333
592000, 6.100000
593000, 6.233333
594000, 6.300000
595000, 6.266667
596000, 6.333333
597000, 6.433333
598000, 6.300000
599000, 6.333333
600000, 6.900000
601000, 6.133333
602000, 6.366667
603000, 6.433333
604000, 6.266667
605000, 6.300000
606000, 6.400000
607000, 6.466667
608000, 6.366667
609000, 6.500000
610000, 6.333333
611000, 6.366667
612000, 6.500000
613000, 6.433333
614000, 6.366667
615000, 6.200000
616000, 6.333333
617000, 6.300000
618000, 6.466667
619000, 6.500000
620000, 6.666667
621000, 6.433333
622000, 6.533333
623000, 6.533333
624000, 6.433333
625000, 6.700000
626000, 6.600000
627000, 6.500000
628000, 6.633333
629000, 6.666667
630000, 6.566667
631000, 6.500000
632000, 6.733333
633000, 6.666667
634000, 6.633333
635000, 6.833333
636000, 6.733333
637000, 6.566667
638000, 6.500000
639000, 6.633333
640000, 6.966667
641000, 6.600000
642000, 6.600000
643000, 6.733333
644000, 6.600000
645000, 6.700000
646000, 6.733333
647000, 6.733333
648000, 6.800000
649000, 6.800000
650000, 6.733333
651000, 6.800000
652000, 6.866667
653000, 6.866667
654000, 6.800000
655000, 7.000000
656000, 6.966667
657000, 7.133333
658000, 7.066667
659000, 6.766667
660000, 6.966667
661000, 6.800000
662000, 6.933333
663000, 6.833333
664000, 7.266667
665000, 7.233333
666000, 7.000000
667000, 7.333333
668000, 7.433333
669000, 7.233333
670000, 7.100000
671000, 7.166667
672000, 7.100000
673000, 7.100000
674000, 7.233333
675000, 7.200000
676000, 7.300000
677000, 7.333333
678000, 7.366667
679000, 7.133333
680000, 7.133333
681000, 7.466667
682000, 7.266667
683000, 7.133333
684000, 7.233333
685000, 7.366667
686000, 7.200000
687000, 7.300000
688000, 7.266667
689000, 7.233333
690000, 7.133333
691000, 7.466667
692000, 7.266667
693000, 7.366667
694000, 7.533333
695000, 7.500000
696000, 7.433333
697000, 7.466667
698000, 7.333333
699000, 7.333333
700000, 7.466667
701000, 7.366667
702000, 7.466667
703000, 7.633333
704000, 7.566667
705000, 7.633333
706000, 7.400000
707000, 7.733333
708000, 7.466667
709000, 7.600000
710000, 7.533333
711000, 7.566667
712000, 7.500000
713000, 7.633333
714000, 7.600000
715000, 7.800000
716000, 7.766667
717000, 8.000000
718000, 7.733333
719000, 7.733333
720000, 7.566667
721000, 7.700000
722000, 7.666667
723000, 7.633333
724000, 7.700000
725000, 8.200000
726000, 7.666667
727000, 7.633333
728000, 7.766667
729000, 7.500000
730000, 7.833333
731000, 8.000000
732000, 8.100000
733000, 7.900000
734000, 7.900000
735000, 7.900000
736000, 8.000000
737000, 7.833333
738000, 8.000000
739000, 7.833333
740000, 8.000000
741000, 8.000000
742000, 7.700000
743000, 7.933333
744000, 7.933333
745000, 7.833333
746000, 7.800000
747000, 7.966667
748000, 8.100000
749000, 8.033333
750000, 8.400000
751000, 8.066667
752000, 7.900000
753000, 8.133333
754000, 8.100000
755000, 8.033333
756000, 8.233333
757000, 8.000000
758000, 7.933333
759000, 8.033333
760000, 8.233333
761000, 8.100000
762000, 8.033333
763000, 8.133333
764000, 8.100000
765000, 8.133333
766000, 8.100000
767000, 8.233333
768000, 8.233333
769000, 8.300000
770000, 8.266667
771000, 8.266667
772000, 8.233333
773000, 8.333333
774000, 8.200000
775000, 8.266667
776000, 8.600000
777000, 8.433333
778000, 8.400000
779000, 8.233333
780000, 8.333333
781000, 8.533333
782000, 8.300000
783000, 8.300000
784000, 8.533333
785000, 8.466667
